IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE2,WITH,INSTALL_TYPE,ACTIONPART,TAGGEDACTION,CAUSE
100032,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED,Ok,RIGHT ENGINE #4,AIR BAFFLE,CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,,,,AIR BAFFLE,REMOVED & REPLACED,
100033,R/H ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,Ok,R/H ENGINE FORWARD,ALTERNATOR ATTACH BOLT,LOOSE,SECURED ALTERNATOR ATTACH BOLT & RESAFETIED.,,,,ALTERNATOR ATTACH BOLT,SECURED & RESAFETIED,
100045,#3 BRAKE MISSING SCREW.,Ok,#3,BRAKET SCREW,MISSING,REPLACED SCREW.,,,,SCREW,REPLACED,
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,Ok,ENGINE,,HIGH OIL PRESS,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,,,,OIL PRESSURE RELIEF VALVE,ADJUSTED,
100064,STUDENT COULDN'T START A/C.,DIFFICULT,,,,STARTED A/C FOR STUDENT.,,,,A/C,STARTED,
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,Ok,,VACUUM TUBE & OIL COOLER LINE,RUBBING,MOVED ADEL CLAMP & APPLIED 2 ZIP TIES NO DEFECTS NOTED,,,,ADEL CLAMP,MOVED & APPLIED,
100067,FUEL PRESS 32 - 33 WITH JUMPS INTO RED.,Ok,,FUEL PRESS,JUMPS INTO RED,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,,,,TRANSDUCER GROUND PATH,CLEANED & CHECKED,
100085,ENGINE WOULD NOT START.,Ok,ENGINE,,WOULDN'T START,STARTED ENGINE LEANED MIXTURE TO CLEAN SPARK PLUGS.,,,,ENGINE,STARTED & LEANED,
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,Ok,RIGHT SIDE,FUSELAGE,OIL FOUND,REMOVED COWLING CLEANED ENGINE PERFORMED ENGINE RUN UP,,,,COWLING,REMOVED & CLEANED & RAN,
100116,#2 CYLINDER HAS LOW COMPRESSION.,Ok,#2 CYLINDER,,COMPRESSION PROBLEM,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,,,,ROCKER COVER,REMOVED & STAKED,
100135,CYLINDER HEAD TEMPERATURE NEEDLE BOUNCES & HAD ENGINE RUN ROUGH.,Ok,ENGINE,CYLINDER HEAD TEMPERATURE NEEDLE,BOUNCES,REMOVED & REPLACED CHT PROBE. INSPECTED ENGINE NO DEFECTS,,,,CHT PROBE,REMOVED & REPLACED,
100147,LEFT BRAKE LININGS ARE WORN OUT.,Ok,LEFT,BRAKE LININGS,WORN,REPLACED BRAKE LININGS.,,,,BRAKE LININGS,REPLACED,
100149,ENGINE OVERSPEED UP TO 3400 RPM AT TERMINATION OF AN AUTO.,Ok,ENGINE,,OVERSPEED,LEAK CHECK GOOD.,,,,LEAK,CHECKED,
100156,#3 BAFFLE BUTTON PLUG BAD.,Ok,#3,BAFFLE BUTTON,PLUG BAD,INSTALLED NEW BUTTON PLUG.,,,NEW,BUTTON PLUG,INSTALLED,
100160,WHILE TAXIING ENGINE QUIT.,Ok,ENGINE,,QUIT,FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE,,,,INTAKE,REMOVED & REPLACED,FOUND #4 INTAKE WAS LEAKING
100186,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,DIFFICULT,,,,FIREWALL REPAIRED BY OUTSIDE SHOP.,,,,FIREWALL,REPAIRED,
100201,LACING CORD LOOSE ON SCAT TUBING & IGN LEAD TO FRAME.,Ok,R/H,SCAT TUBING LACING CORD,LOOSE,REPLACED BOTH LACINGS.,,,,LACINGS,REPLACED,
100231,#4 CYLINDER HAS NO COMPRESSION.,Ok,#4 CYLINDER,,COMPRESSION PROBLEM,INSTALLED NEW GASKET LEAK CHECK GOOD.,,,NEW,GASKET,INSTALLED & CHECKED,
100252,BRACKET SECURING OIL LINE TO #2 CYLINDER BROKEN.,Ok,#2 CYLINDER,BRACKET SECURING OIL LINE,BROKEN,REMOVED & REPLACED BRACKET.,,,,BRACKET,REMOVED & REPLACED,
100257,MAX PERFORM T/O MP WON'T GO ANY HIGHER THAN SPEC.,DIFFICULT,,,,REQUIRES MX FLIGHT TO VERIFY DISCREPANCY,,,,MX FLIGHT,REQUIRES,
100274,RING GEAR HAS TOO MANY DAMAGED TEETH.,Ok,,RING GEAR,DAMAGED,REMOVED PROP & INSTALLED SERVICEABLE RING GEAR ASSEMBLY.,,,,RING GEAR ASSEMBLY,REMOVED & INSTALLED,
100309,STARTER RING GEAR MISSING TEETH.,Ok,,STARTER RING GEAR TEETH,MISSING,REMOVED & REPLACED STARTER RING GEAR. RESAFETY WIRED.,,,,STARTER RING GEAR,REMOVED & REPLACED,
100314,OIL PSI SWITCH WIRING GROMMET IS MISSING.,Ok,,OIL PSI SWITCH WIRING GROMMET,MISSING,INSTALLED NEW GROMMET.,,,NEW,GROMMET,INSTALLED,
100329,L/H BOTTOM BAFFLE WIRE HOLDER IS BROKEN.,Ok,L/H BOTTOM,BAFFLE WIRE HOLDER,BROKEN,REMOVED & REPLACED LOWER L/H BAFFLE TIE ROD.,,,,BAFFLE TIE ROD,REMOVED & REPLACED,
100344,LOWER RIGHT BAFFLE SPRING IS BROKEN.,Ok,LOWER RIGHT,BAFFLE SPRING,BROKEN,REPLACED WITH NEW BAFFLE SPRING.,,WITH NEW,,BAFFLE SPRING,REPLACED,
100350,SPIRAL WRAP ON ROCKER OIL RETURN LINES REQUIRES REPLACEMENT.,DIFFICULT,,,,REMOVED & REPLACED SPIRAL WRAP ON ROCKER RETURN LINES.,,,,SPIRAL WRAP,REMOVED & REPLACED,
100358,#1 INTAKE IS LEAKING.,Ok,#1,INTAKE,LEAKING,REMOVED & REPLACED INTAKE TUBE.,,,,INTAKE TUBE,REMOVED & REPLACED,
100376,#3 CYLINDER HAS VALVE STICKING.,Ok,#3 CYLINDER,VALVE,STUCK,INSTALLED REMAINING ITEMS.,,,,REMAINING ITEMS,INSTALLED,
100377,#3 CYLINDER HAS VALVE STICKING.,Ok,#3 CYLINDER,VALVE,STUCK,REMOVED CYLINDER INSTALLED REPAIRED CYLINDER TWO PUSH RODS,,,REPAIRED,CYLINDER & PUSH RODS,REMOVED & INSTALLED,
100387,CYLINDER #3 INTAKE TUBE LEAKING AT SUMP CONNECTOR HOSE.,Ok,CYLINDER #3,INTAKE TUBE,LEAKING,TIGHTENED CLAMPS.,,,,CLAMP,TIGHTENED,
100400,SEVERE KNOCKING VIBRATIONS ON START UP.,Ok,,,KNOCKING VIBRATIONS,INSPECTED COMPRESSIONS INDICATED NORMAL. REMOVED COWL,,,,COMPRESSIONS,INSPECTED & REMOVED,
100423,ENGINE IS TIMED OUT.,Ok,ENGINE,,TIMED OUT,REMOVED ENGINE IAW MAINT MANUAL.,,,,ENGINE,REMOVED,
100452,CYLINDER #3 EXHAUST PUSH ROD TUBE SEAL LEAKING AT CASE.,Ok,CYLINDER #3,EXHAUST PUSH ROD TUBE SEAL,LEAKING,REPOSITIONED SEAL LEAK PERSISTS. DISASSEMBLED & REPLACED,,,,SEAL,REPOSITIONED & DISASSEMBLED & REPLACED,
100472,#2 CYLINDER EXHAUST PUSH ROD TUBE HAS SMALL DENT.,Ok,#2 CYLINDER,ROD TUBE,DENT,INSTALLED PUSH ROD SHROUD USING NEW SEALS.,,,NEW,PUSH ROD SHROUD,INSTALLED,
100473,#4 CYLINDER HAS LOW COMPRESSION AROUND 34 PSI.,Ok,#4 CYLINDER,,COMPRESSION PROBLEM,TRIED STAKING VALVES STILL NO COMPRESSION. INSPECTED,,,,VALVE,STAKING & INSPECTED,
100521,OIL COOLER BAFFLING CRACKED IN LOWER INBOARD CORNER.,Ok,LOWER INBOARD CORNER,OIL COOLER BAFFLE,CRACKED,FABRICATED PATCH FROM LIKE MATERIAL.,,,,PATCH,FABRICATED,
100532,SCROLL TO PC FLITTER TUBE HAS EXCESSIVE FRETTING UNDER FLOAT.,Ok,UNDER FLOAT,PC FLITTER TUBE,FRETTING,ORDERED LINE.,,,,LINE,ORDERED,
100534,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,Ok,4TH STAGE NOZZLE,NOZZLE,CRACKED,PREPPED ENGINE FOR INSTALLATION & REINSTALLED IN A/C.,,,,ENGINE,PREPPED,
100535,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,Ok,4TH STAGE,NOZZLE,CRACKED,REMOVED ENGINE FROM AIRFRAME. DISASSEMBLED ENGINE IAW,,,,ENGINE,REMOVED & DISASSEMBLED,
100536,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,Ok,4TH STAGE,NOZZLE,CRACKED,REMOVED TURBINE ASSEMBLY. PREPPED LOANER TURBINE.,,,,TURBINE ASSEMBLY,REMOVED & PREPPED,
100537,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,Ok,4TH STAGE NOZZLE,NOZZLE,CRACKED,CONNECTED ENGINE IAW MAINT MANUAL. PERFORMED RUN UP.,,,,ENGINE,CONNECTED,
100543,#2 CYLINDER MISSING ON RUN UP (RUNS ROUGH).,Ok,#2 CYLINDER,,RUN ROUGH,CLEANED GAPPED & TESTED #2 CYLINDER SPARK PLUGS OPS CHECK,,,,SPARK PLUG,CLEANED & GAPPED & TESTED,
100554,#3 CYLINDER HAS NO COMPRESSION.,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,RUN UP & LEAK CHECK GOOD.,,,,LEAK,RAN & CHECKED,
100555,#3 CYLINDER HAS NO COMPRESSION.,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,FOUND LEAK FROM EXHAUST VALVE & CONTACT ON PISTON.,DIFFICULT,,,,,FOUND LEAK FROM EXHAUST VALVE & EXHAUST VALVE CONTACT ON PISTON
100556,#3 CYLINDER HAS NO COMPRESSION.,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,COMPLETED INSTALL OF CYLINDER. DRY TAPPET CLEARANCE CHECKED.,,,,CYLINDER,INSTALLED & CHECKED,
100593,AT 5500 FT EXECUTED ENGINE FAILURE IN FLIGHT & ENGINE.,DIFFICULT,,,,REMOVED & REPLACED #2 INTAKE GASKET CHECKED PROP ACCUMULATOR,,,,INTAKE GASKET,REMOVED & REPLACED & CHECKED,
100617,#2 CYLINDER HAS A STUCK VALVE.,Ok,#2 CYLINDER,VALVE,STUCK,CHECKED VALVE GUIDE CLEARANCE CHECK OK. CLEANED SPARK,,,,VALVE GUIDE,CHECKED & CLEANED,
100637,ALTERNATOR COOLING HOSE CHAFING AGAINST ALTERNATOR CABLE.,Ok,L/H ENGINE,ALTERNATOR COOLING HOSE,CHAFING,REPOSITIONED ALTERNATOR COOLING HOSE.,,,,ALTERNATOR COOLING HOSE,REPOSITIONED,
100645,FIREWALL CRACKED BY BATTERY BOX.,Ok,FIREWALL,BATTERY BOX,CRACKED,ASSEMBLED FITTED PRIMED & PAINTED BRACKET & INSTALLED,,,,BRACKET,ASSEMBLED & FITTED & PRIMED & PAINTED & INSTALLED,
100659,MIXTURE LINKAGE LOOSE MISSING SPRING WASHER.,Ok,,MIXTURE LINKAGE SPRING WASHER,LOOSE MISSING,REPLACED SPRING WASHERS & SAFETIED.,,,,SPRING WASHER,REPLACED & SAFETIED,
100670,PILOT COULDN'T REMOVE DIPSTICK.,DIFFICULT,,,,REMOVED DIPSTICK FOR PILOT.,,,,DIPSTICK,REMOVED,
100694,#2 EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT.,Ok,#2,EXHAUST DRY LIFTER CLEARANCE,TIGHT,REMOVED INSPECTED & DETERMINED TO BE SERVICEABLE PUSHROD,,,,PUSHROD,REMOVED & INSPECTED,
100695,#2 EXHAUST LIFTER PLUNGER ASSEMBLY CAME APART WHEN CLEANED.,Ok,#2,EXHAUST LIFTER PLUNGER ASSEMBLY,CAME APART,REMOVED PLUNGER ASSEMBLY FROM CORE ENGINE.,,,,PLUNGER ASSEMBLY,REMOVED,
100696,ENGINE RUNS ROUGH ON START.,Ok,ENGINE,,RUN ROUGH,PERFORMED COMPRESSION CHECK & FOUND #3 EXHAUST VALVE STUCK,,,,COMPRESSION,CHECKED,FOUND #3 EXHAUST VALVE STUCK
100697,ENGINE RUNS ROUGH ON START.,Ok,ENGINE,,RUN ROUGH,REMOVED & REPLACED #3 CYLINDER IAW OVERHAUL MANUAL.,,,,CYLINDER,REMOVED & REPLACED,
100716,ENGINE CORNER BRACKET BY PROP CABLE IS CRACKED.,Ok,R/H ENGINE CORNER,BRACKET,CRACKED,REMOVED & REPLACED BRACKET.,,,,BRACKET,REMOVED & REPLACED,
100728,STAND OFF NEEDED FOR FUEL LINE ON TOP OF ENGINE.,Ok,TOP OF ENGINE,FUEL LINE,NEED STAND OFF,CLAMPED STAND OFF AT PUSH ROD TUBE.,,,,STAND OFF,CLAMPED,
100738,A/C WON'T START.,Ok,,A/C,WON'T START,ATTEMPTED TO START A/C FOR PILOT. BATTERY WAS DEAD.,,,,A/C,ATTEMPTED,BATTERY WAS DEAD
100764,FORWARD ENGINE HOIST LOOP BOLT IS LOOSE.,Ok,FORWARD ENGINE,HOIST LOOP BOLT,LOOSE,REMOVED CLEANED SEALED INSTALLED & TORQUED BOLT WITH NEW.,,,WITH NEW,BOLT,REMOVED & CLEANED & SEALED & INSTALLED & TORQUED,
100767,OIL COOLER NEED TO BE REPLACED.,Ok,,OIL COOLER,NEED REPLACEMENT,REMOVED & REPLACED OIL COOLER.,,,,OIL COOLER,REMOVED & REPLACED,
100771,#3 INTAKE TO ENGINE THREAD STRIPPED.,Ok,#3,INTAKE TO ENGINE THREAD,STRIPPED,DRILLED STRIPPED HOLE TAPPED & INSERTED HELICOIL.,,,,HOLE,DRILLED & TAPPED & INSERTED,
