asset_id,cycle,operational_setting_1,operational_setting_2,operational_setting_3,s2,s3,s4,s7,s8,s9,s11,s12,s14,s15,s17,s20,s21
AC-003,36,-0.0018,0.0001,100.0,642.06,1580.96,1399.12,554.11,2388.05,9059.15,47.33,522.77,8144.61,8.3794,393,38.84,23.3414
AC-003,37,0.0058,0.0001,100.0,641.68,1582.96,1396.65,555.28,2388.02,9055.79,47.17,522.14,8140.71,8.4142,394,38.78,23.2711
AC-003,38,0.0006,0.0001,100.0,641.72,1577.99,1401.83,554.11,2388.09,9062.07,47.44,521.81,8134.72,8.4094,393,38.98,23.3501
AC-003,39,0.0011,0.0004,100.0,641.94,1580.42,1400.8,554.18,2388.05,9056.99,47.1,522.0,8139.81,8.3738,392,38.79,23.3514
AC-003,40,-0.0038,0.0001,100.0,641.97,1579.38,1403.24,553.75,2388.03,9056.52,47.09,521.84,8131.57,8.3987,392,39.09,23.4079
AC-003,41,0.0009,-0.0002,100.0,642.79,1586.38,1394.92,554.68,2388.02,9060.55,47.32,522.69,8143.58,8.3682,392,38.99,23.3774
AC-003,42,0.0027,-0.0003,100.0,642.61,1586.25,1404.49,554.31,2387.97,9058.97,47.31,522.02,8140.13,8.3828,390,39.11,23.4412
AC-003,43,0.0044,-0.0003,100.0,642.58,1587.9,1401.51,554.18,2388.0,9061.97,47.35,521.7,8138.47,8.4397,392,39.03,23.3024
AC-003,44,-0.0022,-0.0005,100.0,642.21,1586.83,1395.48,554.45,2388.0,9060.44,47.17,522.47,8144.65,8.4259,391,39.14,23.448
AC-003,45,-0.0025,-0.0005,100.0,642.15,1582.99,1398.33,554.43,2388.04,9055.97,47.06,522.17,8138.89,8.4342,392,39.23,23.4284
AC-003,46,0.0015,0.0004,100.0,642.42,1590.25,1401.55,554.0,2388.05,9067.35,47.38,521.88,8141.07,8.4024,392,38.81,23.3352
AC-003,47,-0.0013,-0.0004,100.0,642.26,1587.55,1395.3,554.82,2388.04,9055.04,47.29,522.2,8139.29,8.4134,393,39.01,23.4428
AC-003,48,0.0002,0.0001,100.0,642.01,1587.21,1392.94,554.41,2388.05,9054.47,47.32,521.88,8138.95,8.4199,392,38.92,23.406
AC-003,49,-0.0002,-0.0,100.0,642.16,1583.53,1396.11,554.28,2388.03,9051.92,47.33,522.28,8138.36,8.3716,392,39.0,23.3813
AC-003,50,0.0012,-0.0004,100.0,642.51,1586.16,1402.64,553.87,2388.03,9056.79,47.27,522.07,8140.55,8.4054,391,39.02,23.4013
AC-003,51,0.0022,0.0001,100.0,642.39,1592.16,1401.05,554.15,2387.94,9054.5,47.14,522.18,8135.1,8.4004,392,39.02,23.3874
AC-003,52,0.0042,-0.0,100.0,642.29,1582.66,1404.99,554.39,2387.99,9061.17,47.36,522.73,8142.51,8.3954,392,39.14,23.4006
AC-003,53,0.0032,0.0002,100.0,642.02,1588.04,1399.78,554.54,2388.06,9065.15,47.21,522.54,8141.43,8.4046,391,38.99,23.3824
AC-003,54,0.0003,0.0002,100.0,642.03,1585.66,1407.04,554.28,2388.04,9054.67,47.45,522.19,8143.47,8.3958,391,38.85,23.4086
AC-003,55,-0.0001,0.0002,100.0,642.41,1594.2,1399.08,554.34,2388.03,9058.13,47.22,522.09,8141.34,8.4135,393,38.9,23.4306
AC-003,56,-0.0001,-0.0002,100.0,642.73,1586.08,1403.97,554.47,2388.07,9057.83,47.14,522.08,8136.63,8.4042,394,39.1,23.4319
AC-003,57,0.0004,-0.0005,100.0,642.56,1581.97,1398.55,553.99,2388.06,9058.76,47.28,522.06,8137.58,8.4128,392,38.92,23.366
AC-003,58,0.004,-0.0005,100.0,642.52,1581.31,1403.99,553.58,2388.06,9055.97,47.35,521.85,8130.67,8.4032,392,38.88,23.3982
AC-003,59,0.0011,0.0002,100.0,642.31,1587.46,1397.56,553.88,2388.03,9056.23,47.22,522.85,8142.01,8.4039,390,39.15,23.388
AC-003,60,0.0011,0.0003,100.0,641.8,1586.82,1405.66,553.34,2388.05,9051.65,47.47,522.23,8136.68,8.4616,394,38.94,23.2905
AC-003,61,-0.0006,0.0002,100.0,642.5,1585.5,1392.35,554.01,2388.07,9063.57,47.26,521.8,8138.34,8.4046,393,38.83,23.3697
AC-003,62,0.0009,0.0002,100.0,642.18,1591.5,1403.57,553.67,2388.07,9058.94,47.28,522.16,8143.24,8.417,393,38.96,23.4182
AC-003,63,0.0018,0.0004,100.0,642.1,1583.42,1398.98,554.61,2388.07,9052.2,47.27,522.27,8149.09,8.4241,393,39.01,23.3903
AC-003,64,0.0004,0.0001,100.0,642.53,1590.04,1404.68,553.9,2388.04,9061.33,47.24,522.24,8143.14,8.4227,393,39.13,23.3791
AC-003,65,-0.0024,-0.0003,100.0,641.69,1586.21,1400.69,554.63,2388.03,9057.61,47.29,522.25,8139.64,8.4379,392,39.12,23.4958
AC-003,66,-0.0003,0.0,100.0,642.25,1577.22,1397.9,553.79,2388.01,9059.8,47.31,522.15,8141.08,8.4032,391,38.92,23.432
AC-003,67,-0.004,-0.0005,100.0,642.0,1584.55,1403.87,553.84,2388.1,9060.7,47.29,521.81,8139.27,8.419,392,39.04,23.4697
AC-003,68,0.0034,-0.0002,100.0,642.94,1587.27,1400.37,554.43,2388.04,9056.56,47.31,522.14,8141.67,8.4005,392,39.08,23.3725
AC-003,69,0.0051,-0.0001,100.0,642.05,1581.93,1404.2,555.14,2388.05,9061.76,47.24,521.69,8139.2,8.4404,392,39.07,23.3595
AC-003,70,-0.0011,0.0004,100.0,642.54,1587.02,1397.09,553.8,2387.99,9067.14,47.44,521.88,8137.91,8.4183,392,39.12,23.4527
AC-003,71,0.0002,0.0001,100.0,642.9,1579.41,1401.19,554.59,2388.1,9063.98,47.43,522.0,8139.03,8.3895,392,38.89,23.3944
AC-003,72,-0.0014,-0.0002,100.0,642.25,1590.21,1389.86,554.25,2388.06,9052.95,47.48,521.66,8138.14,8.4042,392,38.88,23.293
AC-003,73,0.0009,0.0002,100.0,642.42,1585.01,1400.06,554.31,2388.07,9062.66,47.23,523.18,8139.97,8.406,392,38.89,23.4922
AC-003,74,0.0023,-0.0001,100.0,642.75,1589.64,1405.76,554.4,2388.03,9060.23,47.14,521.78,8142.13,8.4211,392,38.93,23.3845
AC-003,75,-0.0007,-0.0002,100.0,642.25,1592.23,1406.98,553.73,2388.05,9059.09,47.25,522.24,8144.98,8.4043,392,39.1,23.41
AC-003,76,-0.0032,-0.0001,100.0,642.52,1589.35,1405.34,553.91,2388.0,9062.69,47.35,522.25,8140.33,8.3813,392,38.95,23.4065
AC-003,77,-0.0001,0.0001,100.0,642.98,1584.13,1405.99,554.08,2388.02,9069.75,47.16,522.52,8143.62,8.4375,393,38.78,23.4131
AC-003,78,-0.0003,-0.0005,100.0,642.43,1579.52,1400.53,553.62,2388.06,9064.15,47.38,521.57,8140.42,8.4174,390,38.97,23.3301
AC-003,79,0.0006,0.0004,100.0,642.31,1582.4,1403.49,553.6,2388.03,9063.54,47.28,522.72,8144.12,8.384,393,38.92,23.3451
AC-003,80,-0.0003,-0.0003,100.0,641.74,1580.95,1405.37,553.21,2388.03,9062.23,47.34,521.97,8148.72,8.3935,392,39.03,23.5181
AC-003,81,-0.0007,0.0002,100.0,642.55,1581.73,1402.65,553.88,2388.1,9056.0,47.46,521.34,8144.95,8.4145,391,38.86,23.3728
AC-003,82,-0.003,-0.0003,100.0,642.24,1583.69,1400.4,553.7,2388.05,9071.16,47.22,522.16,8148.16,8.4089,393,38.87,23.3822
AC-003,83,-0.0007,-0.0004,100.0,642.27,1591.3,1398.73,553.79,2388.0,9062.92,47.51,522.02,8143.8,8.3789,393,39.0,23.4426
AC-003,84,-0.0031,0.0004,100.0,642.18,1593.32,1400.62,554.01,2388.03,9062.78,47.51,522.19,8141.69,8.3901,392,38.89,23.3873
AC-003,85,0.0043,-0.0001,100.0,641.95,1587.14,1414.11,554.09,2388.01,9067.15,47.25,521.84,8144.64,8.3949,391,38.87,23.314
AC-003,86,-0.0018,0.0003,100.0,642.69,1586.09,1401.01,553.83,2387.99,9067.61,47.37,522.19,8145.65,8.4188,393,39.03,23.3333
AC-003,87,-0.0005,0.0,100.0,642.32,1588.25,1402.17,554.11,2388.01,9063.48,47.32,522.1,8145.39,8.3939,391,39.01,23.3373
AC-003,88,0.0031,-0.0,100.0,642.27,1585.9,1400.09,553.59,2388.02,9067.17,47.33,521.9,8146.69,8.4078,393,39.04,23.2656
AC-003,89,0.0006,0.0004,100.0,642.33,1582.29,1404.14,555.01,2388.05,9066.64,47.39,521.93,8146.55,8.4044,394,38.81,23.3864
AC-003,90,-0.0008,-0.0002,100.0,642.36,1597.84,1406.26,554.58,2388.06,9068.61,47.4,521.92,8146.94,8.3972,393,38.81,23.2711
AC-003,91,0.0051,-0.0004,100.0,641.99,1582.81,1399.5,553.72,2388.03,9058.01,47.38,521.83,8139.12,8.4327,393,38.95,23.3909
AC-003,92,0.0022,-0.0004,100.0,642.29,1590.07,1400.27,553.5,2387.99,9066.58,47.39,521.96,8152.49,8.373,391,38.87,23.4344
AC-003,93,0.0002,-0.0001,100.0,642.1,1593.66,1409.21,553.83,2387.99,9070.02,47.43,521.6,8146.23,8.4032,392,39.21,23.2352
AC-003,94,0.0023,0.0005,100.0,642.58,1588.9,1401.08,554.76,2388.0,9069.01,47.48,521.94,8147.33,8.4166,392,39.0,23.4437
AC-003,95,-0.0006,-0.0001,100.0,642.37,1585.69,1406.13,554.41,2388.09,9063.16,47.32,521.79,8146.34,8.4012,392,38.89,23.4594
AC-003,96,-0.0003,0.0001,100.0,642.89,1582.86,1400.62,554.08,2388.0,9065.97,47.31,521.48,8146.97,8.4333,393,38.87,23.378
AC-003,97,0.0008,-0.0005,100.0,642.94,1587.51,1408.05,554.13,2388.05,9066.74,47.41,522.71,8152.99,8.4313,393,38.79,23.3339
AC-003,98,0.0006,-0.0004,100.0,642.4,1586.19,1403.62,553.85,2388.03,9066.24,47.35,521.93,8148.92,8.4405,392,38.96,23.2921
AC-003,99,0.0005,-0.0001,100.0,642.67,1589.42,1398.72,553.82,2388.0,9067.95,47.37,522.06,8147.73,8.4388,392,38.91,23.3834
AC-003,100,0.0008,-0.0004,100.0,642.29,1579.98,1404.16,554.94,2388.01,9071.46,47.3,522.01,8148.27,8.4212,390,38.88,23.3073
AC-003,101,0.0002,-0.0003,100.0,642.24,1587.77,1405.55,554.34,2388.03,9067.93,47.42,522.6,8146.15,8.4112,392,38.75,23.3883
AC-003,102,0.0003,0.0,100.0,642.63,1579.35,1408.84,553.87,2388.04,9068.94,47.39,521.95,8154.61,8.3913,392,38.97,23.3669
AC-003,103,0.0003,-0.0003,100.0,642.28,1585.62,1395.4,553.38,2388.05,9075.57,47.48,522.05,8154.38,8.4025,391,38.96,23.3251
AC-003,104,0.0051,0.0,100.0,642.46,1586.74,1403.37,554.63,2388.05,9070.59,47.44,521.66,8146.65,8.4345,393,38.93,23.2958
AC-003,105,-0.0022,0.0004,100.0,641.85,1591.89,1397.73,553.69,2388.08,9062.39,47.32,521.73,8145.37,8.4312,392,38.93,23.321
AC-003,106,-0.0014,-0.0001,100.0,642.51,1586.44,1405.62,554.31,2388.04,9074.76,47.32,522.11,8157.87,8.4098,392,38.93,23.3755
AC-003,107,0.0004,0.0003,100.0,642.36,1586.96,1410.67,553.57,2388.07,9071.53,47.45,521.79,8146.39,8.4326,392,38.89,23.3666
AC-003,108,-0.0005,-0.0002,100.0,642.98,1583.29,1405.94,553.52,2388.08,9068.9,47.25,521.48,8147.9,8.4371,392,38.89,23.4032
AC-003,109,-0.0006,-0.0003,100.0,642.48,1588.21,1402.77,554.91,2388.05,9073.77,47.32,521.59,8149.98,8.4285,392,38.9,23.2637
AC-003,110,-0.0008,0.0001,100.0,642.92,1592.41,1403.14,554.15,2388.04,9075.03,47.41,521.46,8150.96,8.4157,393,38.88,23.2577
AC-003,111,0.001,-0.0005,100.0,642.25,1583.83,1401.73,553.74,2388.04,9070.35,47.41,522.09,8152.99,8.4242,394,38.77,23.3791
AC-003,112,-0.0007,0.0002,100.0,642.65,1584.14,1400.61,553.64,2388.03,9067.74,47.41,521.35,8155.89,8.4176,393,39.0,23.314
AC-003,113,0.0029,-0.0,100.0,642.5,1590.74,1408.52,554.0,2388.05,9071.48,47.41,522.28,8152.76,8.4318,393,38.95,23.3993
AC-003,114,0.0019,-0.0005,100.0,642.46,1588.4,1407.81,554.04,2388.04,9076.18,47.18,521.68,8154.99,8.4222,392,38.78,23.3687
AC-003,115,-0.001,0.0001,100.0,642.22,1588.97,1400.56,553.54,2388.02,9076.34,47.53,521.6,8152.31,8.4566,393,39.01,23.3428
AC-003,116,0.0008,0.0002,100.0,642.62,1591.56,1407.84,553.54,2388.06,9068.22,47.36,521.91,8145.08,8.4083,392,38.77,23.4147
AC-003,117,0.0012,0.0001,100.0,642.76,1587.74,1402.28,553.84,2388.05,9086.93,47.48,521.74,8152.14,8.423,391,38.84,23.4284
AC-003,118,0.0004,0.0,100.0,642.26,1590.05,1408.53,553.52,2388.03,9076.02,47.44,522.37,8152.0,8.4675,392,38.92,23.2813
AC-003,119,0.0022,-0.0002,100.0,642.0,1588.1,1398.22,553.47,2388.05,9075.77,47.53,521.72,8157.34,8.4442,393,38.85,23.2826
AC-003,120,-0.0012,0.0005,100.0,642.6,1585.58,1408.79,553.63,2388.06,9075.42,47.35,521.47,8161.18,8.4458,391,38.83,23.3816
AC-003,121,-0.0036,-0.0003,100.0,642.27,1585.86,1413.79,553.75,2388.03,9082.5,47.48,521.77,8162.35,8.4103,392,38.92,23.2834
AC-003,122,0.0011,-0.0002,100.0,642.72,1586.83,1406.06,553.77,2388.02,9084.14,47.43,521.94,8160.58,8.413,393,38.72,23.2005
AC-003,123,-0.0009,0.0001,100.0,642.49,1594.72,1408.04,554.28,2388.04,9079.55,47.56,522.27,8164.19,8.4506,394,39.0,23.4
AC-003,124,-0.0048,-0.0003,100.0,642.0,1588.41,1405.29,553.12,2388.04,9083.78,47.31,521.32,8161.91,8.4264,394,39.09,23.3056
AC-003,125,-0.0007,0.0002,100.0,642.82,1580.5,1405.04,553.25,2388.01,9081.3,47.34,521.86,8161.3,8.464,394,38.8,23.2509
AC-003,126,0.0013,0.0004,100.0,642.76,1583.13,1409.96,554.41,2388.02,9076.07,47.41,521.56,8156.2,8.4597,394,38.9,23.2845
AC-003,127,0.0029,0.0001,100.0,642.67,1593.61,1395.95,554.01,2388.05,9088.03,47.54,521.42,8164.96,8.437,392,38.91,23.2823
AC-003,128,-0.0008,-0.0003,100.0,642.22,1592.24,1409.32,553.67,2388.02,9084.04,47.55,522.15,8169.19,8.4587,394,38.89,23.3247
AC-003,129,0.0003,0.0005,100.0,643.1,1597.5,1405.91,553.56,2388.07,9091.26,47.33,522.43,8163.03,8.43,393,38.87,23.2454
AC-003,130,-0.0006,0.0,100.0,642.57,1584.08,1410.11,553.51,2388.1,9089.67,47.53,521.55,8168.38,8.4656,392,38.85,23.322
AC-003,131,-0.0042,0.0002,100.0,642.5,1589.91,1406.13,553.7,2388.09,9085.91,47.44,521.22,8166.86,8.4311,394,38.77,23.2491
AC-003,132,-0.0013,-0.0001,100.0,642.35,1592.88,1408.51,553.0,2388.07,9095.25,47.57,521.22,8166.4,8.4631,394,38.82,23.3883
AC-003,133,-0.001,-0.0003,100.0,642.62,1589.14,1409.48,553.52,2388.01,9089.42,47.47,521.44,8167.34,8.4447,394,38.75,23.3143
AC-003,134,0.0005,-0.0005,100.0,642.45,1586.99,1406.61,554.21,2388.05,9091.09,47.64,521.6,8169.28,8.4601,393,38.84,23.208
AC-003,135,0.0012,-0.0,100.0,642.52,1588.65,1407.5,553.69,2387.99,9089.64,47.54,521.63,8163.38,8.4512,393,38.79,23.3407
AC-003,136,0.0015,-0.0001,100.0,642.6,1592.25,1405.41,553.83,2388.08,9097.15,47.6,521.37,8166.47,8.4234,395,38.66,23.272
AC-003,137,-0.0039,0.0004,100.0,642.75,1589.57,1409.77,554.36,2388.08,9097.8,47.33,521.66,8173.71,8.4339,394,38.74,23.244
AC-003,138,0.0013,-0.0,100.0,642.3,1599.56,1407.3,553.57,2388.01,9097.97,47.52,521.91,8166.72,8.4614,393,38.88,23.2957
AC-003,139,-0.0022,0.0005,100.0,643.08,1594.87,1415.14,553.81,2388.08,9089.36,47.53,521.71,8173.47,8.4823,393,38.86,23.3022
AC-003,140,-0.0009,0.0002,100.0,642.87,1589.67,1414.46,553.12,2388.04,9089.2,47.39,521.33,8175.9,8.4544,394,38.89,23.2051
AC-003,141,0.0025,0.0003,100.0,643.08,1584.87,1412.02,553.08,2388.11,9098.7,47.66,521.7,8177.5,8.4394,394,38.77,23.2201
AC-003,142,-0.0012,0.0003,100.0,643.03,1587.35,1413.05,552.85,2388.02,9098.87,47.69,521.23,8177.01,8.4786,394,38.91,23.3298
AC-003,143,0.0012,0.0004,100.0,642.48,1594.94,1402.45,553.0,2388.05,9101.3,47.56,521.36,8177.99,8.4217,394,38.73,23.3126
AC-003,144,0.004,-0.0001,100.0,642.48,1593.19,1416.18,552.94,2388.06,9101.55,47.49,521.33,8179.98,8.4587,391,38.71,23.2089
AC-003,145,-0.0022,-0.0003,100.0,642.65,1591.66,1403.51,553.55,2388.06,9105.53,47.47,521.27,8179.92,8.4219,394,38.88,23.2711
AC-003,146,0.0017,0.0004,100.0,643.71,1589.2,1413.64,553.85,2388.07,9109.59,47.43,521.16,8183.78,8.458,393,38.74,23.331
AC-003,147,0.0023,0.0001,100.0,643.07,1590.59,1411.55,553.79,2388.09,9109.19,47.62,521.37,8183.29,8.4965,396,38.92,23.3225
AC-003,148,-0.0013,0.0003,100.0,642.69,1589.28,1421.05,553.37,2388.05,9112.94,47.5,521.1,8177.05,8.4426,394,38.77,23.2463
AC-003,149,0.0014,-0.0,100.0,643.26,1594.66,1414.51,552.71,2388.09,9113.8,47.64,521.18,8183.53,8.4499,394,38.8,23.3094
AC-003,150,0.0002,-0.0003,100.0,643.08,1591.34,1407.58,553.35,2388.04,9108.76,47.78,521.77,8185.67,8.4995,393,38.84,23.2518
AC-003,151,0.0009,-0.0,100.0,643.04,1594.47,1420.87,552.82,2388.05,9117.82,47.61,521.26,8192.2,8.442,393,38.74,23.2479
AC-003,152,-0.002,-0.0003,100.0,643.34,1599.53,1411.65,553.59,2388.06,9116.1,47.66,520.99,8186.26,8.4818,395,38.86,23.3026
AC-003,153,-0.001,0.0004,100.0,642.89,1594.75,1416.95,553.63,2388.08,9114.32,47.63,521.06,8191.86,8.4479,395,38.72,23.1607
AC-003,154,0.0021,-0.0001,100.0,643.15,1599.04,1414.53,553.26,2388.03,9123.01,47.63,521.48,8191.96,8.4483,393,38.63,23.1781
AC-003,155,0.0006,0.0002,100.0,642.83,1588.51,1413.92,553.47,2388.05,9130.48,47.69,521.28,8193.56,8.462,395,38.71,23.2262
AC-003,156,-0.0002,-0.0003,100.0,643.52,1597.3,1411.91,553.03,2388.09,9121.93,47.67,521.1,8196.33,8.4749,396,38.7,23.1933
AC-003,157,-0.0006,0.0004,100.0,642.84,1599.31,1414.01,552.54,2388.11,9126.88,47.82,521.11,8195.97,8.4683,395,38.6,23.0792
AC-003,158,-0.0003,-0.0003,100.0,643.19,1593.16,1421.83,553.21,2388.1,9134.44,47.74,521.26,8204.2,8.4977,394,38.56,23.1803
AC-003,159,-0.0005,-0.0004,100.0,642.71,1597.8,1415.2,553.19,2388.11,9127.25,47.72,521.08,8198.23,8.4882,394,38.6,23.1906
AC-003,160,0.0058,0.0002,100.0,642.48,1595.61,1415.88,553.16,2388.1,9131.44,47.76,521.16,8203.54,8.4458,393,38.69,23.2144
AC-003,161,-0.0015,-0.0001,100.0,643.6,1594.41,1416.4,552.82,2388.06,9146.21,47.68,520.48,8202.48,8.4779,394,38.62,23.19
AC-003,162,0.0022,0.0002,100.0,643.11,1594.78,1420.33,552.97,2388.12,9134.86,47.89,521.51,8204.85,8.4726,393,38.67,23.0617
AC-003,163,-0.0016,0.0,100.0,643.0,1597.51,1422.22,553.11,2388.13,9142.78,47.58,521.34,8209.22,8.4766,394,38.64,23.1448
AC-003,164,0.0007,-0.0003,100.0,643.09,1601.99,1416.56,552.81,2388.09,9143.64,47.81,520.78,8209.0,8.5019,395,38.74,23.0846
AC-003,165,-0.0005,-0.0001,100.0,642.96,1601.94,1416.31,552.94,2388.09,9150.46,47.97,521.1,8215.68,8.4846,396,38.69,23.123
AC-003,166,0.003,-0.0002,100.0,642.9,1598.82,1419.27,552.56,2388.04,9153.66,47.79,520.98,8218.07,8.5133,395,38.52,23.1578
AC-003,167,0.0027,0.0004,100.0,643.38,1605.41,1415.96,551.95,2388.17,9149.93,47.97,520.47,8223.46,8.4815,396,38.68,23.147
AC-003,168,-0.0012,0.0002,100.0,643.46,1593.72,1422.59,552.04,2388.11,9154.65,47.93,520.75,8221.68,8.5141,395,38.49,23.2036
AC-003,169,0.0016,-0.0001,100.0,643.55,1602.9,1424.39,552.76,2388.13,9157.05,47.9,520.19,8230.54,8.4936,395,38.52,23.1723
AC-003,170,-0.0015,-0.0003,100.0,643.35,1606.1,1428.52,553.34,2388.12,9159.3,48.14,520.62,8230.71,8.4758,395,38.48,23.1829
AC-003,171,-0.0011,-0.0003,100.0,643.36,1603.48,1419.33,551.57,2388.16,9170.51,47.91,520.75,8233.24,8.5011,395,38.7,23.1225
AC-003,172,-0.0017,-0.0004,100.0,643.62,1597.73,1426.38,552.89,2388.08,9168.78,47.64,520.25,8235.35,8.5219,396,38.85,23.2086
AC-003,173,0.0028,-0.0002,100.0,643.64,1604.78,1417.29,552.16,2388.14,9174.85,48.16,520.7,8234.4,8.4763,394,38.51,23.1498
AC-003,174,0.0034,-0.0005,100.0,643.46,1602.86,1424.79,552.29,2388.13,9179.87,47.84,520.02,8234.96,8.5363,396,38.53,23.0144
AC-003,175,-0.003,0.0004,100.0,643.15,1603.74,1424.17,551.47,2388.06,9172.76,48.12,520.34,8238.86,8.5066,396,38.49,22.9909
AC-003,176,-0.0008,0.0002,100.0,643.93,1595.61,1438.51,551.93,2388.18,9185.88,47.98,520.91,8251.82,8.5245,396,38.49,23.0656
